formatted_date,high,low,open,close,volume,adjclose
2014-10-15,1874.18,1820.66,1874.18,1862.49,6090800000,1862.49
2014-10-16,1876.01,1835.02,1855.95,1862.76,5073150000,1862.76
2014-10-17,1898.16,1864.91,1864.91,1886.76,4482120000,1886.76
2014-10-20,1905.03,1882.3,1885.62,1904.01,3331210000,1904.01
2014-10-21,1942.45,1909.38,1909.38,1941.28,3987090000,1941.28
2014-10-22,1949.31,1926.83,1941.29,1927.11,3761930000,1927.11
2014-10-23,1961.95,1931.02,1931.02,1950.82,3789250000,1950.82
2014-10-24,1965.27,1946.27,1951.59,1964.58,3078380000,1964.58
2014-10-27,1964.64,1951.37,1962.97,1961.63,3538860000,1961.63
2014-10-28,1985.05,1964.14,1964.14,1985.05,3653260000,1985.05
2014-10-29,1991.4,1969.04,1983.29,1982.3,3740350000,1982.3
2014-10-30,1999.4,1974.75,1979.49,1994.65,3586150000,1994.65
2014-10-31,2018.19,2001.2,2001.2,2018.05,4292290000,2018.05
2014-11-03,2024.46,2013.68,2018.21,2017.81,3555440000,2017.81
2014-11-04,2015.98,2001.01,2015.81,2012.1,3956260000,2012.1
2014-11-05,2023.77,2014.42,2015.29,2023.57,3766590000,2023.57
2014-11-06,2031.61,2015.86,2023.33,2031.21,3669770000,2031.21
2014-11-07,2034.26,2025.07,2032.36,2031.92,3704280000,2031.92
2014-11-10,2038.7,2030.17,2032.01,2038.26,3284940000,2038.26
2014-11-11,2041.28,2035.28,2038.2,2039.68,2958320000,2039.68
2014-11-12,2040.33,2031.95,2037.75,2038.25,3246650000,2038.25
2014-11-13,2046.18,2030.44,2039.21,2039.33,3455270000,2039.33
2014-11-14,2042.22,2035.2,2039.74,2039.82,3227130000,2039.82
2014-11-17,2043.07,2034.46,2038.29,2041.32,3152890000,2041.32
2014-11-18,2056.08,2041.48,2041.48,2051.8,3416190000,2051.8
2014-11-19,2052.14,2040.37,2051.16,2048.72,3390850000,2048.72
2014-11-20,2053.84,2040.49,2045.87,2052.75,3128290000,2052.75
2014-11-21,2071.46,2056.75,2057.46,2063.5,3916420000,2063.5
2014-11-24,2070.17,2065.07,2065.07,2069.41,3128060000,2069.41
2014-11-25,2074.21,2064.75,2070.15,2067.03,3392940000,2067.03
2014-11-26,2073.29,2066.62,2067.36,2072.83,2745260000,2072.83
2014-11-28,2075.76,2065.06,2074.78,2067.56,2504640000,2067.56
2014-12-01,2065.78,2049.57,2065.78,2053.44,4159010000,2053.44
2014-12-02,2068.77,2053.77,2053.77,2066.55,3686650000,2066.55
2014-12-03,2076.28,2066.65,2067.45,2074.33,3612680000,2074.33
